competencia,cod_municipio,CNES,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,leitos,leitos_sus,leitos_uti,leitos_uti_sus,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,flag_inconsistencia
202501,260290,0000027,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,260290,0000035,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,260290,0000094,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,260290,0000183,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,59,0,5,0,5,0,0,0,0,0,0,0,0,0,0
202501,260290,0000221,M,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,52,0,10,0,10,0,0,0,0,0,0,0,0,0,0
202501,261160,0000396,E,05,HOSPITAL GERAL,2011,HOSPITAL_PRIVADO,310,300,25,20,15,10,0,0,10,10,0,0,0,0,0
202501,261160,0000418,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,401,401,59,59,44,44,0,0,15,15,0,0,0,0,0
202501,261160,0000426,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,644,630,84,70,50,50,34,20,0,0,0,0,0,0,0
202501,261160,0000434,E,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,1056,1046,155,145,81,81,46,46,28,18,0,0,0,0,0
202501,261160,0000477,E,05,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,488,465,60,37,40,27,20,10,0,0,0,0,0,0,0
202501,261160,0000485,D,07,HOSPITAL ESPECIALIZADO,3069,HOSPITAL_FILANTRÓPICO,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0000566,D,05,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,242,202,56,22,16,15,37,7,3,0,0,0,0,0,0
202501,261160,0000582,E,07,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,263,263,35,35,35,35,0,0,0,0,0,0,0,0,0
202501,261160,0000655,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,835,822,66,53,48,40,16,11,0,0,2,2,0,0,0
202501,261160,0000671,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,65,56,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0000701,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0000809,E,07,HOSPITAL ESPECIALIZADO,1147,HOSPITAL_PÚBLICO,67,67,4,4,4,4,0,0,0,0,0,0,0,0,0
202501,261160,0000930,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0000981,E,05,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,79,79,10,10,5,5,5,5,0,0,0,0,0,0,0
202501,261160,0001015,M,07,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0001120,D,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,804,205,235,54,197,50,14,4,16,0,0,0,8,0,0
202501,261160,0001465,M,07,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,261160,0001546,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,280030,0002232,E,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,263,194,57,50,17,10,10,10,30,30,0,0,0,0,0
202501,280030,0002275,M,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,113,78,18,17,18,17,0,0,0,0,0,0,0,0,0
202501,280030,0002283,E,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,256,188,62,33,62,33,0,0,0,0,0,0,0,0,0
202501,280030,0002372,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,280030,0002534,M,05,HOSPITAL GERAL,2011,HOSPITAL_PRIVADO,171,171,20,20,10,10,10,10,0,0,0,0,0,0,0
202501,280030,0002585,M,05,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,179,9,66,9,39,9,7,0,0,0,0,0,20,0,0
202501,280030,0002593,M,07,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,88,0,24,0,0,0,0,0,24,0,0,0,0,0,0
202501,280030,0003085,E,07,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,120,80,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,280030,0003417,M,07,HOSPITAL ESPECIALIZADO,3069,HOSPITAL_FILANTRÓPICO,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,292740,0003778,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,163,163,10,10,10,10,0,0,0,0,0,0,0,0,0
202501,292740,0003786,D,07,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,255,255,20,20,20,20,0,0,0,0,0,0,0,0,0
202501,292740,0003794,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0
