informe,pagina,grupo,termo,tipo_pagina,trecho,cod_municipio,homonimos,revisao,observacao
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,7,gravidade,graves,narrativa,"41 Casos prováveis Óbitos em 160 de casos investigação no mesmo Casos graves e com 1.082 período de sinais de alarme 1,9% Letalidade1 2024",,,,
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,16,localidade_uf,Roraima,tabela,"28 32,2 8,1 Acre 2.020 2.705 243,4 325,9 Amazonas 1.970 682 50,0 17,3 Roraima 33 48 5,2 7,5 Pará 1.151 1.515 14,2 18,7 Amapá 761 62 103,7 8,5 Tocan",,1.0,,
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,17,localidade_uf,Rio Grande do Norte,tabela,5 1 Nordeste 6 3 156 26 Maranhão 0 1 8 0 Piauí 0 0 11 1 Ceará 0 0 7 1 Rio Grande do Norte 1 0 4 0 Paraíba 1 0 1 2 Pernambuco 1 0 3 0 Alagoas 0 1 6 1 Sergipe 0 ,,1.0,,
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,7,gravidade,letalidade,narrativa,"ão no mesmo Casos graves e com 4.014 período de sinais de alarme 4,0% Letalidade1 2024",,,,
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,16,localidade_uf,Rio de Janeiro,tabela," 373.362 45.696 1.817,8 222,5 Espírito Santo 20.939 7.269 546,2 189,6 Rio de Janeiro 76.358 8.353 475,6 52,0 São Paulo 146.975 232.544 330,9 523,5 Sul 149",,2.0,,
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,15,localidade_uf,Piauí,tabela, 2 56 4 Tocantins 2 0 25 2 Nordeste 91 13 1.501 187 Maranhão 6 1 71 7 Piauí 5 4 102 24 Ceará 1 0 34 6 Rio Grande do Norte 2 0 35 9 Paraíba 4 0 49,,1.0,,
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,15,localidade_uf,Sergipe,tabela,Norte 5 0 35 10 Paraíba 4 0 49 5 Pernambuco 3 1 22 6 Alagoas 3 2 37 8 Sergipe 3 1 18 7 Bahia 86 7 1133 137 Sudeste 1.536 420 14.177 5.547 Minas Ger,,1.0,,
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,3,vigilancia,incidencia,narrativa,Diagrama de controle Coeficiente de Incidência e óbitos Fonte: Sinan On-line (banco de dados atualizado em 24/03/202,,,,
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,16,localidade_regiao,Centro-Oeste,tabela,"6 Santa Catarina 137 2 4,9 0,0 0 4 Rio Grande do Sul 98 1 9,0 0,9 1 3 Centro-Oeste 585 34 4,5 2,4 8 61 Mato Grosso do Sul 13 6 6,1 0,0 6 6 Mato Grosso 1",,1.0,,
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,2,vigilancia,confirmados,narrativa," Centro-Oeste e Sul. Os óbitos concentram-se na região Sudeste. Foram confirmados 536 óbitos no período, e 727 estão em investigação. Foi identificada ",,,,
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,16,localidade_regiao,Sul,tabela,"0 11 Rio de Janeiro 158 7 4,7 3,0 0 4 São Paulo 880 385 9,2 4,4 6 473 Sul 699 40 6,2 2,7 1 56 Paraná 411 34 6,1 2,6 0 45 Santa Catarina 160 3 5",,1.0,,
