informe,casos_provaveis,incidencia_100mil,variacao_vs_2024_pct,obitos_confirmados,obitos_investigacao,tendencia_nowcasting,sorotipos_citados,sorotipo_predominante,informe_num,se_inicio,se_fim,data_informe
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,139241.0,68.6,-57.9,21.0,160.0,estimativa nowcasting2 indica tendência de alta no número de casos,"DENV-1, DENV-2, DENV-3",,1,1,4,2025-01-27
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,401408.0,197.7,-68.2,160.0,377.0,estimativa nowcasting indica tendência de alta no número de casos acima do limite esperado,"DENV-1, DENV-2, DENV-3",,2,1,8,2025-02-24
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,480715.0,236.7,-70.0,203.0,458.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado","DENV-1, DENV-2, DENV-3, DENV-4",,3,1,9,2025-03-08
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,533829.0,262.9,-72.9,243.0,520.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado","DENV-1, DENV-2, DENV-3, DENV-4",,4,1,10,2025-03-10
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,620702.0,305.7,-73.8,304.0,632.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado","DENV-1, DENV-2, DENV-3, DENV-4",,5,1,11,2025-03-17
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,709634.0,349.5,-74.7,377.0,684.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado","DENV-1, DENV-2, DENV-3, DENV-4",,6,1,12,2025-03-24
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,807778.0,397.8,-74.6,451.0,704.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado","DENV-1, DENV-2, DENV-3, DENV-4",,7,1,13,2025-03-31
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,896680.0,441.6,-75.1,536.0,727.0,"estimativa nowcasting indica tendência de alta no número de casos, acima do limite esperado para o período","DENV-1, DENV-2, DENV-3, DENV-4",,8,1,14,2025-04-07
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,983138.0,484.2,-75.5,622.0,741.0,"estimativa por nowcasting indica acima do limite superior esperado para o período atual, embora com tendência ","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,9,1,15,2025-04-14
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,1051311.0,517.7,-76.1,703.0,714.0,tendência de queda e retorno ao canal endêmico,"DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,10,1,16,2025-04-22
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,1130286.0,556.6,-76.1,772.0,775.0,"estimativa nowcasting se encontra dentro do canal endêmico, com tendência de redução de casos","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,11,1,17,2025-04-28
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,1196005.0,589.0,-76.4,805.0,807.0,"estimativa nowcasting se encontra dentro do canal endêmico, mas acima da mediana de casos para o período e com","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,12,1,18,2025-05-05
Informe semanal nº 13.pdf,1277148.0,628.9,-76.3,865.0,830.0,"estimativa nowcasting se encontra dentro do canal endêmico, mas com tendência de aumento de casos, para fora d","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,13,1,19,2025-05-12
Informe Semanal nº 14.pdf,1342741.0,661.2,-76.3,940.0,837.0,"estimativa nowcasting se encontra fora do canal endêmico, mas com tendência de estabilidade de casos","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,14,1,20,2025-05-19
Informe Semanal nº 15.pdf,1403561.0,691.2,-76.1,1013.0,830.0,"estimativa nowcasting se encontra fora do canal endêmico, mas com tendência de redução de casos","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,15,1,21,2025-05-26
Informe Semanal nº 16.pdf,1447993.0,713.1,-75.9,1091.0,813.0,"estimativa nowcasting se encontra fora do canal endêmico, mas com tendência de redução de casos","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,16,1,22,2025-06-02
Informe Semanal nº 17 (1).pdf,1478752.0,728.2,-75.7,1165.0,752.0,"estimativa nowcasting se encontra fora do canal endêmico, mas com tendência de redução de casos","DENV-1, DENV-2, DENV-3, DENV-4",DENV-2,17,1,23,2025-06-09
