informe,pagina,grupo,termo,tipo_pagina,trecho,cod_municipio,homonimos
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,2,sorotipo,sorotipos,narrativa,"o, e 160 estão em investigação. Foi identificada a circulação de três sorotipos do vírus dengue (DENV-1, DENV-2 e DENV-3), com aumento da proporção d",,
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 04/2025,,
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,2,sorotipo,sorotipos,narrativa,"o, e 377 estão em investigação. Foi identificada a circulação de três sorotipos do vírus dengue (DENV-1, DENV-2 e DENV-3), com aumento da proporção d",,
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 08/2025,,
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,2,sorotipo,sorotipos,narrativa,"e 458 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 09/2025,,
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,2,sorotipo,sorotipos,narrativa,"e 520 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 10/2025,,
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,2,sorotipo,sorotipos,narrativa,"e 632 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 11/2025,,
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,2,sorotipo,sorotipos,narrativa,"e 684 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 11/2025,,
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,2,sorotipo,sorotipos,narrativa,"e 704 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 13/2025,,
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,2,sorotipo,sorotipos,narrativa,"e 727 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com aumento da pro",,
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 14/2025,,
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,2,sorotipo,sorotipos,narrativa,"e 741 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com predominância ",,
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 15/2025,,
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,2,sorotipo,sorotipos,narrativa,"ior parte na região Sudeste. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com predominância ",,
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 16/2025 Fonte: GAL/CGLAB/SVSA/MS.,,
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,2,sorotipo,sorotipos,narrativa,"e 775 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com predominância ",,
Informe Semanal nº 11 - COE Dengue e outras Arboviroses - SE 1 a 17 - 13 de maio.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 16/2025 Fonte: GAL/CGLAB/SVSA/MS.,,
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,2,sorotipo,sorotipos,narrativa,"e 807 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV-1, DENV-2, DENV-3 e DENV-4), com predominância ",,
Informe Semanal nº 12 - COE Dengue e outras Arboviroses - SE 1 a 18 - 15 de maio.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 18/2025 Fonte: GAL/CGLAB/SVSA/MS.,,
Informe Semanal nº 14.pdf,2,sorotipo,sorotipos,narrativa,"e 837 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV1, DENV-2, DENV-3 e DENV-4), com predominância d",,
Informe Semanal nº 14.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 20/2025 Fonte: GAL/CGLAB/SVSA/MS.,,
Informe Semanal nº 15.pdf,2,sorotipo,sorotipos,narrativa,"e 830 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV1, DENV-2, DENV-3 e DENV-4), com predominância d",,
Informe Semanal nº 15.pdf,4,sorotipo,sorotipos,narrativa,Mapa de Sorotipos Dengue SE 01 a SE 21/2025 Fonte: GAL/CGLAB/SVSA/MS.,,
Informe Semanal nº 16.pdf,2,sorotipo,sorotipos,narrativa,"e 813 estão em investigação. Foi identificada a circulação dos quatro sorotipos do vírus dengue (DENV1, DENV-2, DENV-3 e DENV-4), com predominância d",,
