informe,pagina,titulo,evento,tipo
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,15,Vacina de dengue,inicio_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,15,160.000 Doses de vacinas da dengue para o,inicio_dengue,narrativa
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 à SE 04, Brasil,",inicio_dengue,tabela
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,17,"Número de dengue grave e com sinais de alarme, SE 01 à SE 04, Brasil, 2024 e 2025",inicio_dengue,tabela
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,18,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,19,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 à SE 04,",fim_dengue,tabela
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,16,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 à SE 08, Brasil,",inicio_dengue,tabela
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,17,"Número de dengue grave e com sinais de alarme, SE 01 à SE 08, Brasil, 2024 e 2025",inicio_dengue,tabela
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,18,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,19,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 à SE 08,",fim_dengue,tabela
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,14,"Número de casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a",inicio_dengue,tabela
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 09,",inicio_dengue,tabela
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,17,"Número de casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE",fim_dengue,tabela
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,7,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,14,"Casos prováveis e incidência (por 100.000 habitantes) de dengue, SE 01 a SE 10, Brasil,",inicio_dengue,tabela
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,15,"Número de casos de dengue grave e dengue com sinais de alarme, SE 01 a SE 10,",inicio_dengue,tabela
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,16,"Número de óbitos confirmados, letalidade e óbitos em investigação por dengue, SE 01",inicio_dengue,tabela
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,17,"Casos prováveis e incidência (por 100.000 habitantes) de chikungunya, SE 01 a SE 10,",fim_dengue,tabela
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,2,Dengue,inicio_dengue,narrativa
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,4,Chikungunya,fim_dengue,narrativa
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,7,Dengue,inicio_dengue,narrativa
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,7,Chikungunya,fim_dengue,narrativa
