informe,paginas_analisadas,fallback,palavras,informe_num,se_inicio,se_fim,data_informe,sorotipo,sorotipo_termos,tendencia,tendencia_termos,gravidade,gravidade_termos,vigilancia,vigilancia_termos,localidade_uf,localidade_uf_termos,localidade_regiao,localidade_regiao_termos,localidade_municipio,localidade_municipio_termos,top_termos
Informe Semanal nº 01 - COE Dengue e outras Arboviroses - SE 1 a 4  - 27 de janeiro.pdf,8,0,1012,1,1,4,2025-01-27,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"provaveis, incidencia, notificados, confirmados",5,"São Paulo, Acre, Mato Grosso, Pará",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, obitos, provaveis, incidencia, numero, denv, periodo"
Informe Semanal nº 02 - COE Dengue e outras Arboviroses - SE 1 a 8 - 24 de fevereiro.pdf,7,0,999,2,1,8,2025-02-24,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"provaveis, incidencia, notificados, confirmados",3,"Acre, São Paulo, Mato Grosso",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, obitos, provaveis, incidencia, numero, denv, periodo"
Informe Semanal nº 03 - COE Dengue e outras Arboviroses - SE 1 a 9 - 08 de março.pdf,7,0,1026,3,1,9,2025-03-08,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"provaveis, incidencia, notificados, confirmados",3,"Acre, São Paulo, Mato Grosso",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, denv, obitos, provaveis, incidencia, numero, periodo"
Informe Semanal nº 04 - COE Dengue e outras Arboviroses - SE 1 a 10.pdf,7,0,1019,4,1,10,2025-03-10,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"provaveis, incidencia, notificados, confirmados",3,"Acre, São Paulo, Mato Grosso",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, denv, obitos, provaveis, incidencia, numero, periodo"
Informe Semanal nº 05 - COE Dengue e outras Arboviroses - SE 1 a 11.pdf,7,0,1018,5,1,11,2025-03-17,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",3,"Acre, São Paulo, Mato Grosso",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, denv, incidencia, obitos, provaveis, coeficiente, periodo"
Informe Semanal nº 06 - COE Dengue e outras Arboviroses - SE 1 a 12.pdf,7,0,1015,6,1,12,2025-03-24,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",3,"Acre, São Paulo, Mato Grosso",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, dengue, denv, incidencia, obitos, provaveis, coeficiente, periodo"
Informe Semanal nº 07 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,0,1020,7,1,13,2025-03-31,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",7,"Minas Gerais, São Paulo, Acre, Mato Grosso, Mato Grosso do Sul",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, denv, dengue, incidencia, obitos, provaveis, coeficiente, periodo"
Informe Semanal nº 08 - COE Dengue e outras Arboviroses - SE 1 a 13.pdf,7,0,1025,8,1,14,2025-04-07,2,sorotipos,3,"reducao, aumento, tendencia",9,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",8,"Minas Gerais, São Paulo, Acre, Mato Grosso, Mato Grosso do Sul",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, denv, dengue, incidencia, obitos, periodo, provaveis, coeficiente"
Informe Semanal nº 09 - COE Dengue e outras Arboviroses - SE 1 a 15.pdf,7,0,1044,9,1,15,2025-04-14,2,sorotipos,4,"reducao, aumento, tendencia, queda",9,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",11,"São Paulo, Paraná, Minas Gerais, Acre, Mato Grosso do Sul",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, denv, dengue, incidencia, obitos, periodo, provaveis, coeficiente"
Informe Semanal nº 10 - COE Dengue e outras Arboviroses - SE 1 a 16.pdf,7,0,1033,10,1,16,2025-04-22,2,sorotipos,4,"reducao, aumento, tendencia, queda",8,"obitos, graves, alarme, letalidade",10,"incidencia, provaveis, notificados, confirmados",12,"São Paulo, Paraná, Minas Gerais, Acre, Goiás",7,"Sudeste, Centro-Oeste, Sul",0,,"casos, denv, dengue, incidencia, obitos, provaveis, coeficiente, periodo"
